Groups:

Data:
time unit: s, SW[0], SW[1], SW[2], SW[3], SW[4], SW[5], SW[6], SW[7], SW[9], binsearch:assm|reg_ptr[0], binsearch:assm|reg_ptr[1], binsearch:assm|reg_ptr[2], binsearch:assm|reg_ptr[3], binsearch:assm|reg_ptr[4], binsearch:assm|reg_ptr[5], binsearch:assm|reg_ptr[6], binsearch:assm|reg_ptr[7], binsearch:assm|adderSubtractor:u_ptr_math|Add1~1, binsearch:assm|adderSubtractor:u_ptr_math|Add1~5, binsearch:assm|adderSubtractor:u_ptr_math|Add1~9, binsearch:assm|adderSubtractor:u_ptr_math|Add1~13, binsearch:assm|adderSubtractor:u_ptr_math|Add1~17, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[0], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[1], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[2], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[3], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[4], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[5], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[6], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|q_a[7], binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a1, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a2, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a3, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a4, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a5, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a6, binsearch:assm|ram32x8:rom|altsyncram:altsyncram_component|altsyncram_h6s1:auto_generated|ram_block1a7, binsearch:assm|Add0~1, binsearch:assm|Add1~0, binsearch:assm|Add1~1, binsearch:assm|Add1~2, binsearch:assm|Add1~3, binsearch:assm|Add1~4, binsearch:assm|Equal1~0, binsearch:assm|Equal1~1, binsearch:assm|Equal1~2, binsearch:assm|Equal1~3, binsearch:assm|Equal1~4, binsearch:assm|Equal2~0, binsearch:assm|Equal2~1, binsearch:assm|Equal2~2, binsearch:assm|Equal2~3, binsearch:assm|Equal2~4, binsearch:assm|Found, binsearch:assm|LessThan1~0, binsearch:assm|LessThan1~1, binsearch:assm|LessThan1~2, binsearch:assm|LessThan1~3, binsearch:assm|LessThan1~4, binsearch:assm|LessThan1~4_wirecell, binsearch:assm|LessThan1~5, binsearch:assm|LessThan2~0, binsearch:assm|LessThan2~1, binsearch:assm|Loc[4]~1, binsearch:assm|Loc[4]~2, binsearch:assm|Loc[4]~3, binsearch:assm|Loc~0, binsearch:assm|Loc~4, binsearch:assm|Loc~5, binsearch:assm|Loc~6, binsearch:assm|Loc~7, binsearch:assm|Selector0~0, binsearch:assm|Selector0~1, binsearch:assm|Selector5~0, binsearch:assm|Selector16~0, binsearch:assm|Selector16~1, binsearch:assm|delta_reg[0]~DUPLICATE, binsearch:assm|delta_reg[1]~DUPLICATE, binsearch:assm|delta_reg[2]~DUPLICATE, binsearch:assm|delta_reg[3]~DUPLICATE, binsearch:assm|delta_reg[4]~DUPLICATE, binsearch:assm|delta_reg[4]~feeder, binsearch:assm|delta_step[0]~0, binsearch:assm|delta_step[0]~5, binsearch:assm|delta_step[1]~2, binsearch:assm|delta_step[2]~1, binsearch:assm|delta_step[3]~3, binsearch:assm|delta_step[4]~4, binsearch:assm|iter_reg[0]~DUPLICATE, binsearch:assm|iter_reg[0]~_wirecell, binsearch:assm|iter_reg[1]~DUPLICATE, binsearch:assm|iter_reg[2]~DUPLICATE, binsearch:assm|iter_reg[3]~0, binsearch:assm|iter_reg[3]~1, binsearch:assm|iter_reg[3]~2, binsearch:assm|iter_reg[5]~DUPLICATE, binsearch:assm|ps.S_UPDATE~0, binsearch:assm|ps~2, binsearch:assm|ps~3, binsearch:assm|ps~4, binsearch:assm|ps~4DUPLICATE, binsearch:assm|ps~5, binsearch:assm|ps~6, binsearch:assm|ps~7, binsearch:assm|ps~8, binsearch:assm|ptr_addr[0]~0, binsearch:assm|ptr_addr[0]~feeder, binsearch:assm|ptr_addr[1]~feeder, binsearch:assm|ptr_addr[2]~feeder, binsearch:assm|ptr_addr[3]~feeder, binsearch:assm|ptr_candidate~0, binsearch:assm|ptr_candidate~1, binsearch:assm|ptr_candidate~2, binsearch:assm|ptr_cur[0]~DUPLICATE, binsearch:assm|ptr_cur[1]~DUPLICATE, binsearch:assm|ptr_cur[2]~DUPLICATE, binsearch:assm|ptr_cur~0, binsearch:assm|reg_ptr[7]~1, binsearch:assm|reg_ptr[7]~feeder, seg7:h0|WideOr0~0, seg7:h0|WideOr1~0, seg7:h0|WideOr2~0, seg7:h0|WideOr3~0, seg7:h0|WideOr4~0, seg7:h0|WideOr5~0, seg7:h0|WideOr6~0, CLOCK_50~inputCLKENA0, KEY[0]~input, SW[0]~input, SW[1]~input, SW[2]~input, SW[3]~input, SW[4]~input, SW[5]~input, SW[6]~input, SW[7]~input, SW[9]~input, key_q0[0]~feeder, ~GND, DE1_SoC|start_pulse, LEDR[9]~output, HEX0[0]~output, HEX0[1]~output, HEX0[2]~output, HEX0[3]~output, HEX0[4]~output, HEX0[5]~output, HEX0[6]~output, HEX1[0]~output, HEX1[1]~output, 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 
5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
6, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 
7, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
8, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
9, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
